Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.19     0.00    49096     0.00     0.10  std::_Vector_base<cv::Point_<int>, std::allocator<cv::Point_<int> > >::~_Vector_base()
  0.00      0.19     0.00    49096     0.00     0.10  std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::~vector()
  0.00      0.19     0.00    49096     0.00     0.00  void std::_Destroy<cv::Point_<int>*, cv::Point_<int> >(cv::Point_<int>*, cv::Point_<int>*, std::allocator<cv::Point_<int> >&)
  0.00      0.19     0.00    49095     0.00     0.00  void std::_Destroy_aux<true>::__destroy<cv::Point_<int>*>(cv::Point_<int>*, cv::Point_<int>*)
  0.00      0.19     0.00    49095     0.00     0.00  void std::_Destroy<cv::Point_<int>*>(cv::Point_<int>*, cv::Point_<int>*)
  0.00      0.19     0.00    43943     0.00     0.00  cv::Mat::Mat<cv::Point_<int> >(std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > const&, bool)
  0.00      0.19     0.00    43942     0.00     0.00  std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::end() const
  0.00      0.19     0.00    43942     0.00     0.00  std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::begin() const
  0.00      0.19     0.00    43942     0.00     0.00  std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::empty() const
  0.00      0.19     0.00    43940     0.00     0.00  bool __gnu_cxx::operator==<cv::Point_<int> const*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > >(__gnu_cxx::__normal_iterator<cv::Point_<int> const*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > > const&, __gnu_cxx::__normal_iterator<cv::Point_<int> const*, std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > > > const&)
  0.00      0.19     0.00    43938     0.00     0.00  std::vector<cv::Point_<int>, std::allocator<cv::Point_<int> > >::operator[](unsigned long) const
  0.00      0.19     0.00    35276     0.00     0.00  boost::detail::sp_counted_base::release()
  0.00      0.19     0.00    33405     0.00     0.00  boost::detail::atomic_increment(int*)
  0.00      0.19     0.00    33404     0.00     0.00  boost::detail::sp_counted_base::add_ref_copy()
  0.00      0.19     0.00    33403     0.00     0.00  boost::detail::shared_count::shared_count(boost::detail::shared_count const&)
  0.00      0.19     0.00    31380     0.00     0.00  std::_Iter_base<float*, false>::_S_base(float*)
  0.00      0.19     0.00    27196     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00      0.19     0.00    25579     0.00     0.00  cv::Mat::initEmpty()
  0.00      0.19     0.00    25575     0.00     0.00  cv::Mat::Mat()
  0.00      0.19     0.00    23012     0.00     0.00  std::_Niter_base<float*>::iterator_type std::__niter_base<float*>(float*)
  0.00      0.19     0.00    21966     0.00     0.00  std::vector<float, std::allocator<float> >::size() const
  0.00      0.19     0.00    18378     0.00     0.00  void ros::serialization::Serializer<double>::read<ros::serialization::IStream>(ros::serialization::IStream&, double&)
  0.00      0.19     0.00    18377     0.00     0.00  void ros::serialization::deserialize<double, ros::serialization::IStream>(ros::serialization::IStream&, double&)
  0.00      0.19     0.00    17643     0.00     0.00  boost::detail::shared_count::shared_count()
  0.00      0.19     0.00    16736     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::__normal_iterator(float const* const&)
  0.00      0.19     0.00    16736     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::base() const
  0.00      0.19     0.00    16736     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, false>::_S_base(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >)
  0.00      0.19     0.00    16736     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, true>::_S_base(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >)
  0.00      0.19     0.00    16736     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >)
  0.00      0.19     0.00    16736     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >)
  0.00      0.19     0.00    16219     0.00     0.00  boost::function_base::empty() const
  0.00      0.19     0.00    14644     0.00     0.00  __gnu_cxx::new_allocator<float>::max_size() const
  0.00      0.19     0.00    14118     0.00     0.00  std::fabs(float)
  0.00      0.19     0.00    13345     0.00     0.00  void ros::serialization::Serializer<unsigned int>::read<ros::serialization::IStream>(ros::serialization::IStream&, unsigned int&)
  0.00      0.19     0.00    13345     0.00     0.00  void ros::serialization::deserialize<unsigned int, ros::serialization::IStream>(ros::serialization::IStream&, unsigned int&)
  0.00      0.19     0.00    13183     0.00     0.00  std::pow(float, int)
  0.00      0.19     0.00    13176     0.00     0.00  cv::Mat::MStep::operator[](int) const
  0.00      0.19     0.00    12552     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator() const
  0.00      0.19     0.00    12552     0.00     0.00  float* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<float>(float const*, float const*, float*)
  0.00      0.19     0.00    12552     0.00     0.00  void std::_Destroy_aux<true>::__destroy<float*>(float*, float*)
  0.00      0.19     0.00    12552     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_deallocate(float*, unsigned long)
  0.00      0.19     0.00    12551     0.00     0.00  void std::_Destroy<float*>(float*, float*)
  0.00      0.19     0.00    12551     0.00     0.00  void std::_Destroy<float*, float>(float*, float*, std::allocator<float>&)
  0.00      0.19     0.00    11606     0.00     0.00  boost::function_base::has_trivial_copy_and_destroy() const
  0.00      0.19     0.00    11566     0.00     0.00  ros::TimeBase<ros::Time, ros::Duration>::~TimeBase()
  0.00      0.19     0.00    11565     0.00     0.00  ros::Time::~Time()
  0.00      0.19     0.00    11311     0.00     0.00  tfCos(double)
  0.00      0.19     0.00    10783     0.00     0.00  boost::detail::shared_count::swap(boost::detail::shared_count&)
  0.00      0.19     0.00    10460     0.00     0.00  __gnu_cxx::new_allocator<float>::deallocate(float*, unsigned long)
  0.00      0.19     0.00    10460     0.00     0.00  __gnu_cxx::new_allocator<float>::allocate(unsigned long, void const*)
  0.00      0.19     0.00    10460     0.00     0.00  __gnu_cxx::new_allocator<float>::~new_allocator()
  0.00      0.19     0.00    10460     0.00     0.00  std::allocator<float>::~allocator()
  0.00      0.19     0.00    10460     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_allocate(unsigned long)
  0.00      0.19     0.00    10460     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::~_Vector_base()
  0.00      0.19     0.00    10460     0.00     0.00  std::vector<float, std::allocator<float> >::~vector()
  0.00      0.19     0.00    10459     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::~_Vector_impl()
  0.00      0.19     0.00     9898     0.00     0.00  boost::shared_ptr<nav_msgs::Odometry_<std::allocator<void> > >::~shared_ptr()
  0.00      0.19     0.00     9839     0.00     0.00  boost::shared_ptr<std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > > >::~shared_ptr()
  0.00      0.19     0.00     9154     0.00     0.00  boost::function_base::function_base()
  0.00      0.19     0.00     8484     0.00     0.00  tf::Vector3::x() const
  0.00      0.19     0.00     8484     0.00     0.00  tf::QuadWord::x() const
  0.00      0.19     0.00     8483     0.00     0.00  boost::shared_ptr<nav_msgs::Odometry_<std::allocator<void> > const>::~shared_ptr()
  0.00      0.19     0.00     8482     0.00     0.00  boost::shared_ptr<nav_msgs::Odometry_<std::allocator<void> > const>::operator->() const
  0.00      0.19     0.00     8368     0.00     0.00  __gnu_cxx::new_allocator<float>::new_allocator(__gnu_cxx::new_allocator<float> const&)
  0.00      0.19     0.00     8368     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<float> >::_S_select_on_copy(std::allocator<float> const&)
  0.00      0.19     0.00     8368     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const
  0.00      0.19     0.00     8368     0.00     0.00  std::vector<float, std::allocator<float> >::end() const
  0.00      0.19     0.00     8368     0.00     0.00  std::vector<float, std::allocator<float> >::begin() const
  0.00      0.19     0.00     8368     0.00     0.00  std::allocator<float>::allocator(std::allocator<float> const&)
  0.00      0.19     0.00     8368     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::_Vector_impl(std::allocator<float> const&)
  0.00      0.19     0.00     8368     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_create_storage(unsigned long)
  0.00      0.19     0.00     8368     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_base(unsigned long, std::allocator<float> const&)
  0.00      0.19     0.00     8368     0.00     0.00  float* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00      0.19     0.00     8368     0.00     0.00  std::vector<float, std::allocator<float> >::vector(std::vector<float, std::allocator<float> > const&)
  0.00      0.19     0.00     8368     0.00     0.00  std::_Miter_base<float*>::iterator_type std::__miter_base<float*>(float*)
  0.00      0.19     0.00     8368     0.00     0.00  float* std::__copy_move_a<false, float const*, float*>(float const*, float const*, float*)
  0.00      0.19     0.00     8368     0.00     0.00  float* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00      0.19     0.00     8368     0.00     0.00  float* std::uninitialized_copy<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00      0.19     0.00     8368     0.00     0.00  float* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*, float>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*, std::allocator<float>&)
  0.00      0.19     0.00     8368     0.00     0.00  float* std::copy<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00      0.19     0.00     8315     0.00     0.00  Object::setX(double)
  0.00      0.19     0.00     8314     0.00     0.00  Object::setY(double)
  0.00      0.19     0.00     8314     0.00     0.00  Object::setTheta(double)
  0.00      0.19     0.00     8305     0.00     0.00  boost::detail::sp_counted_base::~sp_counted_base()
  0.00      0.19     0.00     7375     0.00     0.00  Robot::localToWorld(Pose, Pose*)
  0.00      0.19     0.00     7374     0.00     0.00  cv::Point_<float>::operator=(cv::Point_<float> const&)
  0.00      0.19     0.00     7370     0.00     0.00  cv::Rect_<int>::Rect_(cv::Rect_<int> const&)
  0.00      0.19     0.00     7322     0.00     0.00  void ros::serialization::Serializer<float>::read<ros::serialization::IStream>(ros::serialization::IStream&, float&)
  0.00      0.19     0.00     7322     0.00     0.00  void ros::serialization::deserialize<float, ros::serialization::IStream>(ros::serialization::IStream&, float&)
  0.00      0.19     0.00     7322     0.00     0.00  boost::shared_ptr<sensor_msgs::LaserScan_<std::allocator<void> > >::~shared_ptr()
  0.00      0.19     0.00     7070     0.00     0.00  tf::QuadWord::y() const
  0.00      0.19     0.00     6731     0.00     0.00  cv::Scalar_<double>::Scalar_(double, double, double, double)
  0.00      0.19     0.00     6730     0.00     0.00  cv::Vec<double, 4>::Vec()
  0.00      0.19     0.00     6729     0.00     0.00  cv::Matx<double, 4, 1>::Matx()
  0.00      0.19     0.00     6725     0.00     0.00  cv::Scalar_<double>::all(double)
  0.00      0.19     0.00     6644     0.00     0.00  std_msgs::Header_<std::allocator<void> >::~Header_()
  0.00      0.19     0.00     6276     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::__normal_iterator(float* const&)
  0.00      0.19     0.00     6130     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.19     0.00     5937     0.00     0.00  boost::detail::sp_counted_base::weak_release()
  0.00      0.19     0.00     5930     0.00     0.00  boost::detail::sp_counted_base::destroy()
  0.00      0.19     0.00     5847     0.00     0.00  boost::checked_array_deleter<unsigned char>::operator()(unsigned char*) const
  0.00      0.19     0.00     5844     0.00     0.00  void boost::checked_array_delete<unsigned char>(unsigned char*)
  0.00      0.19     0.00     5840     0.00     0.00  boost::detail::sp_counted_impl_pd<unsigned char*, boost::checked_array_deleter<unsigned char> >::~sp_counted_impl_pd()
  0.00      0.19     0.00     5837     0.00     0.00  boost::detail::sp_counted_impl_pd<unsigned char*, boost::checked_array_deleter<unsigned char> >::~sp_counted_impl_pd()
  0.00      0.19     0.00     5677     0.00     0.00  cv::morphologyDefaultBorderValue()
  0.00      0.19     0.00     5658     0.00     0.00  boost::function0<boost::shared_ptr<nav_msgs::Odometry_<std::allocator<void> > > >::clear()
  0.00      0.19     0.00     5656     0.00     0.00  tfAtan2(double, double)
  0.00      0.19     0.00     5656     0.00     0.00  tf::QuadWord::z() const
  0.00      0.19     0.00     5604     0.00     0.00  ros::serialization::Serializer<double>::serializedLength(double const&)
  0.00      0.19     0.00     5603     0.00     0.00  unsigned int ros::serialization::serializationLength<double>(double const&)
  0.00      0.19     0.00     5601     0.00     0.00  void ros::serialization::serialize<double, ros::serialization::OStream>(ros::serialization::OStream&, double const&)
  0.00      0.19     0.00     5600     0.00     0.00  void ros::serialization::Serializer<double>::write<ros::serialization::OStream>(ros::serialization::OStream&, double)
  0.00      0.19     0.00     5230     0.00     0.00  sensor_msgs::LaserScan_<std::allocator<void> >::~LaserScan_()
  0.00      0.19     0.00     5229     0.00     0.00  boost::shared_ptr<sensor_msgs::LaserScan_<std::allocator<void> > const>::~shared_ptr()
  0.00      0.19     0.00     5193     0.00     0.00  boost::shared_ptr<ros::Publisher::Impl>::operator->() const
  0.00      0.19     0.00     5133     0.00     0.00  boost::shared_ptr<void const>::~shared_ptr()
  0.00      0.19     0.00     4926     0.00     0.00  boost::detail::sp_enable_shared_from_this(...)
  0.00      0.19     0.00     4920     0.00     0.00  ros::Time::Time()
  0.00      0.19     0.00     4920     0.00     0.00  ros::TimeBase<ros::Time, ros::Duration>::TimeBase()
  0.00      0.19     0.00     4920     0.00     0.00  boost::shared_ptr<std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > > >::swap(boost::shared_ptr<std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > > >&)
  0.00      0.19     0.00     4920     0.00     0.00  boost::shared_ptr<std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > > >::shared_ptr()
  0.00      0.19     0.00     4920     0.00     2.03  boost::shared_ptr<std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > > >::operator=(boost::shared_ptr<std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > > > const&)
  0.00      0.19     0.00     4920     0.00     0.00  void std::swap<std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >*>(std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >*&, std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >*&)
  0.00      0.19     0.00     4919     0.00     0.00  boost::shared_ptr<void const>::get() const
  0.00      0.19     0.00     4712     0.00     0.00  geometry_msgs::Vector3_<std::allocator<void> >::Vector3_()
  0.00      0.19     0.00     4709     0.00     0.00  cv::MatExpr::~MatExpr()
  0.00      0.19     0.00     4244     0.00     0.00  boost::function0<boost::shared_ptr<nav_msgs::Odometry_<std::allocator<void> > > >::~function0()
  0.00      0.19     0.00     4242     0.00     0.00  tf::Vector3::setValue(double const&, double const&, double const&)
  0.00      0.19     0.00     4242     0.00     0.00  tf::Vector3::Vector3()
  0.00      0.19     0.00     4242     0.00     0.00  boost::function0<boost::shared_ptr<nav_msgs::Odometry_<std::allocator<void> > > >::move_assign(boost::function0<boost::shared_ptr<nav_msgs::Odometry_<std::allocator<void> > > >&)
  0.00      0.19     0.00     4242     0.00     0.00  tf::QuadWord::w() const
  0.00      0.19     0.00     4202     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.19     0.00     4186     0.00     0.00  boost::function0<boost::shared_ptr<sensor_msgs::LaserScan_<std::allocator<void> > > >::clear()
  0.00      0.19     0.00     4184     0.00     0.00  sensor_msgs::LaserScan_<std::allocator<void> >::LaserScan_(sensor_msgs::LaserScan_<std::allocator<void> > const&)
  0.00      0.19     0.00     4184     0.00     0.00  std_msgs::Header_<std::allocator<void> >::Header_(std_msgs::Header_<std::allocator<void> > const&)
  0.00      0.19     0.00     4184     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<float> >::max_size(std::allocator<float> const&)
  0.00      0.19     0.00     4184     0.00     0.00  std::vector<float, std::allocator<float> >::max_size() const
  0.00      0.19     0.00     4184     0.00     0.00  float* std::__uninitialized_copy<true>::__uninit_copy<float*, float*>(float*, float*, float*)
  0.00      0.19     0.00     4184     0.00     0.00  std::vector<float, std::allocator<float> >::begin()
  0.00      0.19     0.00     4184     0.00     0.00  float* std::__copy_move_a<false, float*, float*>(float*, float*, float*)
  0.00      0.19     0.00     4184     0.00     0.00  float* std::__copy_move_a2<false, float*, float*>(float*, float*, float*)
  0.00      0.19     0.00     4184     0.00     0.00  float* std::uninitialized_copy<float*, float*>(float*, float*, float*)
  0.00      0.19     0.00     4184     0.00     0.00  float* std::__uninitialized_copy_a<float*, float*, float>(float*, float*, float*, std::allocator<float>&)
  0.00      0.19     0.00     4184     0.00     0.00  float* std::__uninitialized_move_if_noexcept_a<float*, float*, std::allocator<float> >(float*, float*, float*, std::allocator<float>&)
  0.00      0.19     0.00     4184     0.00     0.00  float* std::copy<float*, float*>(float*, float*, float*)
  0.00      0.19     0.00     3874     0.00     0.00  void ros::serialization::Serializer<std::string>::read<ros::serialization::IStream>(ros::serialization::IStream&, std::string&)
  0.00      0.19     0.00     3874     0.00     0.00  void ros::serialization::deserialize<std::string, ros::serialization::IStream>(ros::serialization::IStream&, std::string&)
  0.00      0.19     0.00     3759     0.00     0.00  cv::Mat::Mat(cv::Mat const&)
  0.00      0.19     0.00     3600     0.00     0.00  boost::shared_array<unsigned char>::~shared_array()
  0.00      0.19     0.00     3401     0.00     0.00  boost::detail::sp_counted_base::sp_counted_base()
  0.00      0.19     0.00     3392     0.00     0.00  ros::serialization::Stream::Stream(unsigned char*, unsigned int)
  0.00      0.19     0.00     3386     0.00     0.00  boost::detail::sp_counted_impl_pd<unsigned char*, boost::checked_array_deleter<unsigned char> >::dispose()
  0.00      0.19     0.00     3140     0.00     0.00  boost::function0<boost::shared_ptr<sensor_msgs::LaserScan_<std::allocator<void> > > >::~function0()
  0.00      0.19     0.00     3138     0.00     0.00  boost::function0<boost::shared_ptr<sensor_msgs::LaserScan_<std::allocator<void> > > >::move_assign(boost::function0<boost::shared_ptr<sensor_msgs::LaserScan_<std::allocator<void> > > >&)
  0.00      0.19     0.00     2830     0.00     0.00  cv::Mat::operator=(cv::MatExpr const&)
  0.00      0.19     0.00     2830     0.00     0.00  cv::Mat::operator=(cv::Mat const&)
  0.00      0.19     0.00     2829     0.00     0.00  boost::function<boost::shared_ptr<nav_msgs::Odometry_<std::allocator<void> > > ()>::~function()
  0.00      0.19     0.00     2828     0.00     0.00  void ros::serialization::deserialize<geometry_msgs::Vector3_<std::allocator<void> >, ros::serialization::IStream>(ros::serialization::IStream&, geometry_msgs::Vector3_<std::allocator<void> >&)
  0.00      0.19     0.00     2828     0.00     0.00  boost::shared_ptr<nav_msgs::Odometry_<std::allocator<void> > const>::shared_ptr(boost::shared_ptr<nav_msgs::Odometry_<std::allocator<void> > const> const&)
  0.00      0.19     0.00     2828     0.00     0.00  boost::shared_ptr<nav_msgs::Odometry_<std::allocator<void> > const>::shared_ptr<nav_msgs::Odometry_<std::allocator<void> > >(boost::shared_ptr<nav_msgs::Odometry_<std::allocator<void> > > const&, boost::detail::sp_enable_if_convertible<nav_msgs::Odometry_<std::allocator<void> >, nav_msgs::Odometry_<std::allocator<void> > const>::type)
  0.00      0.19     0.00     2828     0.00     0.00  boost::shared_ptr<nav_msgs::Odometry_<std::allocator<void> > >::shared_ptr()
  0.00      0.19     0.00     2828     0.00     0.00  boost::shared_ptr<nav_msgs::Odometry_<std::allocator<void> > >::shared_ptr<nav_msgs::Odometry_<std::allocator<void> > const>(boost::shared_ptr<nav_msgs::Odometry_<std::allocator<void> > const> const&, nav_msgs::Odometry_<std::allocator<void> >*)
